ID,Team,AfterTimeOuts(ATO),HalfCourtSetAll,HalfCourtSetAll-NoPts,HalfCourtSetAll-Pts,HalfCourtSetvs.Zone-NoPts,HalfCourtSetvs.Man,HalfCourtSetvs.Man-NoPts,HalfCourtSetvs.Man-Pts,HalfCourtSetvs.Zone,HalfCourtSetvs.Zone-Pts,Last4Sec.ofShotClock,OutofBounds,OutofBounds(End),OutofBounds(Side),TotalPoints,Win,Season,AllPushBall,PressOffense,PushBallfromShotAttempt,PushBallfromTurnover,PushBalltoHalfCourtOff.,TransitionOffense,TransitionTurnover,2FGAttempts,2FGMade,2FGMissed,3FGAttempts,3FGMade,3FGMissed,AllFreeThrows,FGAttempts,FGMade,FGMissed,GuardedJumpShots,Unguarded Jump Shots,LiveFreeThrows,LongJumpShots,MediumJumpShots,ShortJumpShots,AllIsolation,AllOffensiveRebounds,AllP&RBallHandler,AllPossessionClips,AllPost-Up,Cuts,Handoffs,Isolation-DefenseCommits,Isolation-SingleCovered,MiscellaneousPossessions,OffScreens,Off.Reb.-PutBacks,Off.Reb.-ResetOffense,P&RBallHandler-DefenseCommits,P&RBallHandler-SingleCovered,P&RBallHandler-Traps,P&RRollMan,Post-Up-DefenseCommits,Post-Up-HardDoubleTeam,Post-Up-SingleCovered,SpotUps,Transitions,Assists,Blocks,DefensiveRebounds,NoPoints,NonPossessions,OffensiveRebounds,Points,Steals,StolenPossessions,TotalRebounds,Turnovers
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233566,Algoma Thunderbirds,10,77,55,22,12,62,43,19,15,3,7,6,2,4,69,0,2015-2016,25,0,20,5,8,14,3,43,15,28,24,7,17,21,67,22,45,12,7,12,24,9,9,5,15,19,94,13,7,4,0,5,3,5,6,9,8,11,0,2,3,1,9,24,17,10,3,22,63,32,11,31,6,10,33,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233567,Western Ontario Mustangs,9,77,45,32,21,44,24,20,33,12,3,10,7,3,72,1,2015-2016,32,23,29,3,20,11,1,40,19,21,17,7,10,24,57,26,31,11,7,12,17,1,3,8,8,7,89,13,12,0,1,7,14,1,6,2,3,4,0,1,3,4,6,23,12,11,0,29,52,40,7,37,11,10,36,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233567,Algoma Thunderbirds,8,74,50,24,0,74,50,24,0,0,3,7,4,3,58,0,2015-2016,26,3,20,6,13,9,4,45,13,32,14,6,8,21,59,19,40,11,3,11,14,6,13,7,6,18,87,13,8,2,1,6,5,6,3,3,9,6,3,3,3,3,7,23,13,3,0,23,61,33,6,27,10,11,29,16
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233577,McMaster Marauders,9,76,50,26,1,75,49,26,1,0,15,11,9,2,75,0,2015-2016,28,21,21,7,7,17,4,44,21,23,20,6,14,26,64,27,37,13,4,15,20,2,1,16,12,12,97,11,8,2,9,7,13,2,5,7,5,7,0,1,3,5,3,20,21,9,8,25,62,44,12,35,11,12,37,23
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233577,Brock Badgers,7,87,50,37,0,87,50,37,0,0,6,14,8,6,83,1,2015-2016,39,5,27,12,16,17,6,64,26,38,11,3,8,35,75,29,46,6,5,18,12,7,9,12,23,9,110,25,11,0,3,9,11,3,16,7,6,3,0,2,4,8,13,14,23,9,2,23,67,50,20,43,12,11,43,19
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233578,York (ONT) Lions,9,80,57,23,1,79,56,23,1,0,7,13,7,6,86,1,2015-2016,25,15,17,8,6,14,5,42,17,25,27,10,17,6,69,27,42,12,7,3,27,1,3,18,11,15,99,3,9,1,8,10,11,2,7,4,10,5,0,2,1,1,1,26,19,10,0,24,69,23,10,30,10,11,34,24
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233578,Brock Badgers,8,62,42,20,6,51,36,15,11,5,2,11,4,7,71,0,2015-2016,49,30,37,12,18,28,3,44,26,18,23,7,16,13,67,33,34,18,8,8,23,6,5,7,8,4,93,7,6,0,1,6,14,2,5,3,4,0,0,0,2,0,5,24,31,15,2,24,55,26,9,38,11,10,33,19
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233579,Queens (ON) University Golden Gaels,9,71,40,31,1,70,39,31,1,0,4,12,3,9,87,1,2015-2016,21,3,18,3,9,12,0,40,23,17,16,7,9,30,56,30,26,7,5,14,17,1,1,6,3,21,83,7,6,4,0,6,12,3,3,0,9,11,1,3,2,1,4,17,12,12,2,24,42,43,4,41,7,8,28,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233579,Brock Badgers,11,80,47,33,0,80,47,33,0,0,6,11,3,8,81,0,2015-2016,28,12,26,2,15,10,3,49,24,25,21,6,15,12,70,30,40,19,0,6,21,11,7,11,13,17,93,16,6,1,3,8,5,4,9,4,10,7,0,4,6,3,7,26,13,10,1,23,58,25,13,36,8,7,36,16
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233580,Brock Badgers,9,80,51,29,0,80,51,29,0,0,10,8,5,3,82,1,2015-2016,36,0,30,6,13,20,3,64,25,39,22,8,14,11,86,33,53,11,5,6,22,4,6,12,14,20,103,24,5,0,2,10,0,3,7,7,13,7,0,3,3,1,20,19,23,12,7,34,65,26,15,38,8,6,49,11
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233580,Lakehead University Thunderwolves,10,90,58,32,4,83,54,29,7,3,15,7,2,5,80,0,2015-2016,17,6,16,1,9,5,3,45,18,27,26,9,17,24,71,27,44,14,5,12,27,2,2,27,11,27,98,6,5,5,5,22,8,2,8,3,13,14,0,5,0,1,5,14,8,8,2,29,62,36,11,36,6,8,40,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233584,Brock Badgers,9,77,52,25,0,77,52,25,0,0,6,14,3,11,61,0,2015-2016,24,0,20,4,11,9,4,35,13,22,29,8,21,14,64,21,43,22,4,7,29,4,6,3,11,17,90,14,8,1,1,2,2,11,7,4,5,9,3,2,4,7,3,26,13,15,1,23,62,31,12,28,6,10,35,20
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233584,Western Ontario Mustangs,10,78,44,34,4,72,40,32,6,2,4,7,4,3,72,1,2015-2016,24,7,16,8,11,11,2,47,26,21,11,0,11,32,58,26,32,11,3,18,11,5,3,12,11,15,91,12,7,0,2,10,11,7,6,5,5,9,1,4,2,6,4,15,13,5,1,27,53,44,8,38,10,6,35,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233585,Brock Badgers,7,72,45,27,0,71,45,26,1,1,6,8,6,2,83,1,2015-2016,45,3,37,8,16,26,3,50,22,28,21,7,14,25,71,29,42,10,10,13,21,2,4,8,13,14,101,9,9,4,4,4,8,5,7,6,9,5,0,4,4,1,4,17,29,17,7,47,60,41,14,41,10,8,61,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233585,Guelph Gryphons,8,83,62,21,29,48,33,15,35,6,6,10,7,3,49,0,2015-2016,22,9,16,6,3,17,2,54,16,38,22,1,21,28,76,17,59,9,8,14,22,7,6,11,10,18,102,4,7,1,2,9,15,0,7,3,10,8,0,2,2,1,1,31,19,8,4,27,76,38,10,26,8,10,37,12
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233587,Toronto Varsity Blues,9,81,50,31,12,66,38,28,15,3,5,13,5,8,71,0,2015-2016,21,15,18,3,5,10,6,51,25,26,23,4,19,17,74,29,45,11,7,8,24,1,4,3,14,23,97,9,10,4,1,2,10,4,8,6,19,4,0,2,0,1,8,27,16,11,5,28,61,40,13,36,4,5,41,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233587,Brock Badgers,9,67,39,28,3,60,36,24,7,4,5,11,6,5,77,1,2015-2016,45,22,40,5,18,21,6,47,20,27,21,8,13,21,68,28,40,16,1,11,21,2,7,3,11,8,94,10,9,1,1,2,7,6,6,5,4,4,0,2,1,2,7,22,27,11,9,29,58,39,10,37,5,4,39,12
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233588,Brock Badgers,6,81,57,24,1,80,56,24,1,0,8,15,11,4,65,0,2015-2016,21,7,17,4,7,11,3,40,13,27,21,8,13,25,61,21,40,12,5,13,21,11,5,12,7,20,95,14,6,3,4,8,10,5,3,4,12,7,1,3,1,5,8,20,14,15,4,22,65,39,7,30,5,12,29,22
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233588,Carleton University Ravens,7,79,45,34,2,74,43,31,5,3,5,8,6,2,90,1,2015-2016,27,5,17,10,8,17,2,62,32,30,18,7,11,8,80,39,41,17,2,5,18,7,3,9,16,17,98,7,14,3,2,7,4,3,8,8,5,8,4,2,2,2,3,23,19,17,3,29,56,22,15,42,12,5,44,14
